r1,r2,r3,r4,r5,r6,r7,shape
7.85,13.83,16.73,17.380000000000003,15.909999999999998,7.7299999999999995,20.580000000000002,Diamond
8.309999999999999,14.48,17.080000000000002,17.91,15.120000000000001,7.35,19.759999999999998,Oval
8.38,14.42,16.97,18.060000000000002,16.12,5.83,20.21,Oblong
8.16,13.99,16.41,17.09,15.690000000000001,7.82,20.84,Oblong
7.51,13.58,16.75,17.88,15.629999999999999,7.539999999999999,21.12,Oblong
8.05,14.360000000000001,16.93,17.98,15.459999999999999,7.31,19.91,Oval
7.93,13.919999999999998,16.34,17.21,15.690000000000001,7.89,21.01,Oval
8.129999999999999,13.91,16.580000000000002,17.43,15.06,8.07,20.830000000000002,Oblong
7.6899999999999995,13.750000000000002,16.580000000000002,17.59,15.0,8.459999999999999,20.93,Pear
8.06,13.750000000000002,16.46,17.75,16.82,6.260000000000001,20.919999999999998,Triangle
7.88,13.61,16.11,16.950000000000003,16.580000000000002,7.82,21.060000000000002,Oblong
8.0,14.099999999999998,16.74,18.11,16.259999999999998,6.800000000000001,19.99,Triangle
8.37,14.21,16.74,17.71,16.14,6.49,20.349999999999998,Square
8.39,14.680000000000001,17.1,17.599999999999998,16.28,5.93,20.02,Oval
8.469999999999999,14.48,16.830000000000002,17.61,15.629999999999999,6.74,20.23,Oval
8.07,14.27,16.650000000000002,17.48,14.06,9.45,20.02,Oblong
7.75,13.48,16.03,17.299999999999997,15.67,8.77,21.0,Oblong
7.51,13.819999999999999,16.76,18.07,14.87,8.98,20.0,Triangle
8.08,14.31,16.97,18.3,15.190000000000001,7.109999999999999,20.04,Oval
8.33,14.580000000000002,16.869999999999997,17.810000000000002,15.590000000000002,6.83,19.98,Round
8.67,14.95,17.16,17.22,15.620000000000001,6.38,20.0,Pear
7.95,13.950000000000001,16.84,17.9,16.33,6.35,20.669999999999998,Diamond
8.459999999999999,14.67,16.900000000000002,17.599999999999998,15.47,6.7,20.19,Square
8.4,14.510000000000002,17.06,18.25,15.440000000000001,6.74,19.61,Triangle
8.48,14.499999999999998,16.84,17.96,15.21,7.24,19.77,Round
8.260000000000002,14.34,16.84,17.54,15.76,6.94,20.32,Pear
8.19,13.900000000000002,16.38,17.080000000000002,16.400000000000002,7.430000000000001,20.630000000000003,Oblong
8.03,14.000000000000002,16.41,17.44,15.24,8.540000000000001,20.330000000000002,Oblong
8.36,14.38,16.96,17.9,16.09,5.949999999999999,20.349999999999998,Oblong
7.8,13.84,16.56,17.62,15.870000000000001,7.62,20.68,Triangle
8.19,14.249999999999998,17.07,17.669999999999998,16.21,6.04,20.549999999999997,Oblong
8.260000000000002,14.360000000000001,16.509999999999998,17.25,16.0,7.46,20.169999999999998,Pear
8.260000000000002,14.280000000000001,16.72,17.72,15.690000000000001,7.35,19.99,Round
8.02,13.850000000000001,16.35,17.299999999999997,15.53,8.07,20.880000000000003,Oval
8.34,14.75,17.03,17.98,14.510000000000002,7.68,19.72,Square
8.34,14.75,17.03,17.98,14.510000000000002,7.68,19.72,Square
8.08,13.62,16.18,17.14,16.7,7.57,20.72,Triangle
8.36,14.08,16.5,17.380000000000003,16.86,5.949999999999999,20.849999999999998,Oval
8.129999999999999,14.08,16.470000000000002,17.47,16.35,7.33,20.16,Round
8.21,14.649999999999999,17.21,17.82,16.11,5.82,20.19,Oval
8.540000000000001,14.59,16.97,17.919999999999998,15.870000000000001,6.39,19.72,Square
8.05,13.8,16.64,17.87,16.31,6.529999999999999,20.810000000000002,Triangle
8.27,14.06,16.439999999999998,17.23,16.689999999999998,6.43,20.880000000000003,Round
8.309999999999999,14.35,16.509999999999998,17.2,16.64,6.34,20.64,Pear
8.18,14.09,16.48,17.49,15.76,7.61,20.39,Oblong
8.469999999999999,14.799999999999999,17.14,18.279999999999998,15.740000000000002,5.6899999999999995,19.89,Triangle
8.17,14.280000000000001,16.619999999999997,17.75,15.229999999999999,8.09,19.869999999999997,Oval
7.920000000000001,14.069999999999999,16.74,17.64,15.97,7.26,20.4,Diamond
7.85,13.58,16.42,17.61,15.659999999999998,8.24,20.65,Triangle
8.33,14.57,17.1,17.83,16.34,5.71,20.119999999999997,Pear
8.33,14.57,17.09,18.18,15.15,6.510000000000001,20.169999999999998,Square
8.14,14.66,17.080000000000002,18.08,14.84,7.580000000000001,19.63,Round
8.870000000000001,14.91,16.950000000000003,17.66,14.92,7.180000000000001,19.5,Square
7.920000000000001,13.889999999999999,16.650000000000002,17.560000000000002,15.72,7.7299999999999995,20.53,Triangle
8.25,14.360000000000001,16.72,17.47,15.78,7.03,20.380000000000003,Square
8.81,15.299999999999999,17.51,18.17,15.620000000000001,5.42,19.17,Pear
8.43,14.77,16.99,17.93,15.03,7.449999999999999,19.400000000000002,Square
7.61,13.77,16.8,17.8,16.73,6.260000000000001,21.02,Oval
8.08,14.180000000000001,16.830000000000002,17.51,15.86,7.2700000000000005,20.27,Oblong
8.12,14.08,16.75,17.78,15.840000000000002,7.380000000000001,20.06,Triangle
8.06,14.430000000000001,17.0,18.060000000000002,15.379999999999999,7.33,19.74,Round
8.44,14.799999999999999,17.24,18.35,14.67,7.140000000000001,19.36,Pear
8.3,14.680000000000001,17.01,17.919999999999998,14.530000000000001,7.76,19.8,Oval
7.969999999999999,13.819999999999999,16.41,17.23,15.950000000000001,8.03,20.599999999999998,Triangle
8.3,14.499999999999998,16.939999999999998,17.94,14.23,8.35,19.73,Round
7.920000000000001,13.819999999999999,16.43,17.27,15.76,8.23,20.580000000000002,Oval
8.77,15.049999999999999,17.44,18.54,15.17,5.65,19.37,Square
8.200000000000001,13.91,16.64,17.23,16.56,6.76,20.71,Diamond
8.39,14.35,16.79,17.47,15.659999999999998,7.3,20.04,Round
8.200000000000001,14.27,16.830000000000002,17.66,16.18,6.36,20.5,Triangle
8.41,14.29,16.54,17.39,15.939999999999998,7.19,20.24,Square
8.23,14.19,16.7,17.64,15.989999999999998,6.529999999999999,20.72,Oval
7.779999999999999,13.850000000000001,16.470000000000002,17.27,14.860000000000001,8.36,21.41,Triangle
8.09,13.919999999999998,16.79,18.0,16.12,6.45,20.64,Triangle
8.4,14.56,16.99,17.7,16.46,5.55,20.34,Oblong
